source_id	target_id	edge	source_degree	target_degree	xswap_prior	metaedge	prior	value
1123	988	FALSE	17	2	0.002675283979631806	Compound–resembles–Compound	approx	0.002624662875502527
276	605	FALSE	2	2	2.840678516354192e-4	Compound–resembles–Compound	approx	3.084277746738076e-4
537	524	FALSE	1	0	0	Compound–resembles–Compound	approx	0
1041	1335	FALSE	9	0	0	Compound–resembles–Compound	approx	0
940	1286	FALSE	10	4	0.003119058397464916	Compound–resembles–Compound	approx	0.003086643217240461
643	81	FALSE	10	16	0.012512664640324215	Compound–resembles–Compound	approx	0.01235713166273207
456	576	FALSE	0	21	0	Compound–resembles–Compound	approx	0
741	215	FALSE	9	10	0.006746148202494497	Compound–resembles–Compound	approx	0.006947493278443805
104	356	FALSE	10	3	0.002228239845261122	Compound–resembles–Compound	approx	0.0023148086130253555
1430	198	FALSE	17	1	0.0013866735271417547	Compound–resembles–Compound	approx	0.0013122335286268323
1116	1497	FALSE	11	0	0	Compound–resembles–Compound	approx	0
15	1155	FALSE	8	0	0	Compound–resembles–Compound	approx	0
632	1499	FALSE	8	0	0	Compound–resembles–Compound	approx	0
1137	1299	FALSE	9	0	0	Compound–resembles–Compound	approx	0
1419	828	FALSE	4	0	0	Compound–resembles–Compound	approx	0
1032	314	FALSE	0	21	0	Compound–resembles–Compound	approx	0
1025	658	FALSE	4	15	0.004680851063829788	Compound–resembles–Compound	approx	0.004631724286741718
1078	147	FALSE	35	0	0	Compound–resembles–Compound	approx	0
1008	942	FALSE	3	0	0	Compound–resembles–Compound	approx	0
385	1014	FALSE	0	0	0	Compound–resembles–Compound	approx	0
1339	1232	FALSE	4	4	0.001278859212313264	Compound–resembles–Compound	approx	0.0012340908458275076
912	611	FALSE	7	22	0.01142156862745098	Compound–resembles–Compound	approx	0.011896562263865578
725	1234	FALSE	14	18	0.01933913043478261	Compound–resembles–Compound	approx	0.019469301808619163
56	45	FALSE	7	7	0.0037759515570934257	Compound–resembles–Compound	approx	0.0037811289238226355
1457	1362	FALSE	1	0	0	Compound–resembles–Compound	approx	0
923	772	FALSE	13	1	0.001040274861614812	Compound–resembles–Compound	approx	0.001003163319608778
1151	1546	FALSE	11	17	0.014258312020460358	Compound–resembles–Compound	approx	0.014444224917008855
1298	1049	FALSE	14	0	0	Compound–resembles–Compound	approx	0
292	1383	FALSE	27	0	0	Compound–resembles–Compound	approx	0
238	275	FALSE	0	14	0	Compound–resembles–Compound	approx	0
633	1014	FALSE	20	0	0	Compound–resembles–Compound	approx	0
128	249	FALSE	16	12	0.014444444444444444	Compound–resembles–Compound	approx	0.014830350302592811
520	606	FALSE	17	2	0.002675283979631806	Compound–resembles–Compound	approx	0.002624662875502527
145	846	FALSE	20	1	0.001624529316837009	Compound–resembles–Compound	approx	0.001544161222641057
1287	102	FALSE	4	8	0.0024645390070921988	Compound–resembles–Compound	approx	0.0024689377725014873
423	741	FALSE	22	9	0.015359195402298851	Compound–resembles–Compound	approx	0.015297236293168346
9	848	FALSE	12	0	0	Compound–resembles–Compound	approx	0
939	1213	FALSE	0	0	0	Compound–resembles–Compound	approx	0
1477	84	FALSE	1	0	0	Compound–resembles–Compound	approx	0
1221	1441	FALSE	22	0	0	Compound–resembles–Compound	approx	0
528	75	FALSE	18	3	0.004158102766798419	Compound–resembles–Compound	approx	0.004169204036201246
1130	1503	FALSE	9	0	0	Compound–resembles–Compound	approx	0
1373	388	FALSE	2	13	0.002115664051147922	Compound–resembles–Compound	approx	0.002006478442855586
887	1200	FALSE	14	2	0.0021945945945945947	Compound–resembles–Compound	approx	0.0021609890114760023
143	1357	FALSE	10	3	0.002228239845261122	Compound–resembles–Compound	approx	0.0023148086130253555
1053	1174	FALSE	8	2	0.001166166166166166	Compound–resembles–Compound	approx	0.001234281247581098
847	878	FALSE	7	0	0	Compound–resembles–Compound	approx	0
1458	749	FALSE	0	21	0	Compound–resembles–Compound	approx	0
1065	466	FALSE	3	0	0	Compound–resembles–Compound	approx	0
477	501	FALSE	4	5	0.0014955288313290164	Compound–resembles–Compound	approx	0.0015427318882882634
1203	1293	FALSE	2	9	0.0013995029512270892	Compound–resembles–Compound	approx	0.001388673248285073
158	423	FALSE	0	22	0	Compound–resembles–Compound	approx	0
1448	956	FALSE	28	1	0.002106508875739645	Compound–resembles–Compound	approx	0.002163159339485999
684	1000	FALSE	13	9	0.00924916573971079	Compound–resembles–Compound	approx	0.009033682794243261
388	305	FALSE	13	5	0.005044413277232352	Compound–resembles–Compound	approx	0.005017304659290213
828	1394	FALSE	0	2	0	Compound–resembles–Compound	approx	0
740	1232	FALSE	16	4	0.004908814589665653	Compound–resembles–Compound	approx	0.004940880012489981
848	196	FALSE	0	12	0	Compound–resembles–Compound	approx	0
729	422	FALSE	12	1	9.129332206255284e-4	Compound–resembles–Compound	approx	9.259255290100607e-4
625	737	FALSE	1	0	0	Compound–resembles–Compound	approx	0
486	798	FALSE	10	1	7.843384111796551e-4	Compound–resembles–Compound	approx	7.714856522179447e-4
109	362	FALSE	31	0	0	Compound–resembles–Compound	approx	0
1187	122	FALSE	20	0	0	Compound–resembles–Compound	approx	0
462	197	FALSE	23	1	0.001804733727810651	Compound–resembles–Compound	approx	0.0017761961324376649
1356	1374	FALSE	0	1	0	Compound–resembles–Compound	approx	0
1545	1312	FALSE	12	2	0.001761046761046761	Compound–resembles–Compound	approx	0.0018519915766255968
680	867	FALSE	1	6	4.5928430543815157e-4	Compound–resembles–Compound	approx	4.627486778953377e-4
951	434	FALSE	13	19	0.01878136200716846	Compound–resembles–Compound	approx	0.019083148237090338
162	256	FALSE	6	9	0.004184455391351943	Compound–resembles–Compound	approx	0.004167273584765996
1114	897	FALSE	7	3	0.0016136363636363635	Compound–resembles–Compound	approx	0.0016199932457002005
963	298	FALSE	10	8	0.006233254531126871	Compound–resembles–Compound	approx	0.006175104184406929
1176	1163	FALSE	4	0	0	Compound–resembles–Compound	approx	0
1550	1213	FALSE	4	0	0	Compound–resembles–Compound	approx	0
1397	1544	FALSE	1	1	8.613143797486083e-5	Compound–resembles–Compound	approx	7.709505797765601e-5
548	277	FALSE	8	6	0.0036390358612580836	Compound–resembles–Compound	approx	0.003703964097111651
445	746	FALSE	6	1	4.5928430543815157e-4	Compound–resembles–Compound	approx	4.627486778953377e-4
709	1513	FALSE	37	0	0	Compound–resembles–Compound	approx	0
953	1290	FALSE	1	9	6.73331973066721e-4	Compound–resembles–Compound	approx	6.942835632852149e-4
592	843	FALSE	7	12	0.006463585434173669	Compound–resembles–Compound	approx	0.006484347230010682
734	1476	FALSE	7	0	0	Compound–resembles–Compound	approx	0
